lat,lon,name,count,source
42.3604823,-71.0595678,boston,2,The Onion
38.8951148,-77.0363716,washington,2,The Onion
51.5072759,-0.1276597,london,1,The Onion
41.4877262,-81.677522,cleveland,1,The Onion
49.8493165,-99.9573544,brandon,1,The Onion
34.1987,-79.7677001,florence,1,The Onion
35.614517,-88.813947,jackson,1,The Onion
48.8564528,2.3524282,paris,1,The Onion
34.8512316,-82.3985105,greenville,1,The Onion
38.2493581,-122.0399663,fairfield,1,The Onion
-33.8548157,151.2164539,sydney,1,The Onion
-33.5963146,-71.6134572,san antonio,1,The Onion
34.008818,-81.0372695,columbia,1,The Onion
39.7589478,-84.1916069,dayton,1,The Onion
41.7641463,-72.6822578,hartford,1,The Onion
49.1323438,-123.0056851,delta,1,The Onion
41.0814447,-81.5190053,akron,1,The Onion
39.6417629,-77.7199932,hagerstown,1,The Onion
15.160632,120.5864028,angeles,2,The Onion
34.0502836,-118.2420861,los angeles,2,The Onion
42.8864468,-78.8783689,buffalo,1,The Onion
39.2810502,-76.567903,baltimore,1,The Onion
37.0298687,-76.3452218,hampton,1,Huffington Post
39.1014564,-84.5138592,cincinnati,3,Huffington Post
29.1399633,-98.905306,devine,1,Huffington Post
37.270973,-79.9414313,roanoke,1,Huffington Post
27.0997775,-82.4542633,venice,5,Huffington Post
48.8564528,2.3524282,paris,42,Huffington Post
-17.9640268,122.2176092,broome,1,Huffington Post
37.227928,-77.4019268,petersburg,3,Huffington Post
-34.8985937,-56.1628267,montevideo,5,Huffington Post
36.0391456,-114.9819235,henderson,1,Huffington Post
41.7605849,-88.3200715,aurora,4,Huffington Post
39.9272322,32.8519769,ankara,12,Huffington Post
43.0481221,-76.1474244,syracuse,4,Huffington Post
36.8468146,-76.2852183,norfolk,1,Huffington Post
0.3162223,32.5821691,kampala,2,Huffington Post
26.7164127,88.4309916,siliguri,3,Huffington Post
27.9094665,-82.7873244,largo,1,Huffington Post
55.6039243,13.0073038,malmö,1,Huffington Post
18.5425986,-69.8014861,san luis,1,Huffington Post
-30.897333,-55.5473981,rivera,5,Huffington Post
41.8756208,-87.6243706,chicago,16,Huffington Post
10.5182899,7.4359863,kaduna,2,Huffington Post
34.8512316,-82.3985105,greenville,2,Huffington Post
37.9357576,-122.3477486,richmond,3,Huffington Post
38.8338816,-104.8213634,colorado springs,3,Huffington Post
27.3364347,-82.5306527,sarasota,5,Huffington Post
24.6915,78.421,lalitpur,5,Huffington Post
11.8330152,13.1499859,maiduguri,1,Huffington Post
