lat,lon,name,count,source
38.963745,35.243322,turkey,2,The Onion
32.427908,53.688046,iran,1,The Onion
31.046051,34.851612,israel,1,The Onion
33.223191,43.679291,iraq,1,The Onion
34.802075,38.996815,syria,2,The Onion
26.3351,17.228331,libya,1,The Onion
21.521757,-77.781167,cuba,1,The Onion
26.820553,30.802498,egypt,1,The Onion
21.512583,55.923255,oman,7,The Onion
17.570692,-3.996166,mali,2,The Onion
33.854721,35.862285,lebanon,1,The Onion
23.885942,45.079162,saudi arabia,1,The Onion
37.09024,-95.712891,united states,5,The Onion
30.585164,36.238414,jordan,1,The Onion
35.86166,104.195397,china,1,The Onion
9.945587,-9.696645,guinea,1,The Onion
-0.023559,37.906193,kenya,1,The Onion
15.552727,48.516388,yemen,2,The Onion
36.204824,138.252924,japan,44,Huffington Post
13.443182,-15.310139,gambia,1,Huffington Post
40.143105,47.576927,azerbaijan,4,Huffington Post
40.339852,127.510093,north korea,20,Huffington Post
11.825138,42.590275,djibouti,1,Huffington Post
12.565679,104.990963,cambodia,2,Huffington Post
47.162494,19.503304,hungary,14,Huffington Post
23.69781,120.960515,taiwan,5,Huffington Post
38.861034,71.276093,tajikistan,2,Huffington Post
13.193887,-59.543198,barbados,2,Huffington Post
55.169438,23.881275,lithuania,1,Huffington Post
46.862496,103.846656,mongolia,7,Huffington Post
55.378051,-3.435973,united kingdom,18,Huffington Post
33.886917,9.537499,tunisia,3,Huffington Post
-1.940278,29.873888,rwanda,12,Huffington Post
6.428055,-9.429499,liberia,11,Huffington Post
-38.416097,-63.616672,argentina,12,Huffington Post
60.472024,8.468946,norway,10,Huffington Post
8.460555,-11.779889,sierra leone,4,Huffington Post
7.946527,-1.023194,ghana,9,Huffington Post
-25.274398,133.775136,australia,53,Huffington Post
21.521757,-77.781167,cuba,29,Huffington Post
15.783471,-90.230759,guatemala,5,Huffington Post
-19.015438,29.154857,zimbabwe,2,Huffington Post
50.503887,4.469936,belgium,14,Huffington Post
18.971187,-72.285215,haiti,5,Huffington Post
48.019573,66.923684,kazakhstan,3,Huffington Post
21.00789,-10.940835,mauritania,1,Huffington Post
41.20438,74.766098,kyrgyzstan,3,Huffington Post
52.132633,5.291266,netherlands,19,Huffington Post
39.399872,-8.224454,portugal,8,Huffington Post
56.26392,9.501785,denmark,7,Huffington Post
12.879721,121.774017,philippines,20,Huffington Post
14.497401,-14.452362,senegal,9,Huffington Post
47.411631,28.369885,moldova,2,Huffington Post
56.879635,24.603189,latvia,1,Huffington Post
-22.95764,18.49041,namibia,1,Huffington Post
46.818188,8.227512,switzerland,18,Huffington Post
42.733883,25.48583,bulgaria,4,Huffington Post
18.109581,-77.297508,jamaica,1,Huffington Post
41.153332,20.168331,albania,1,Huffington Post
15.199999,-86.241905,honduras,2,Huffington Post
33.854721,35.862285,lebanon,10,Huffington Post
4.210484,101.975766,malaysia,13,Huffington Post
-18.665695,35.529562,mozambique,1,Huffington Post
39.074208,21.824312,greece,37,Huffington Post
12.865416,-85.207229,nicaragua,5,Huffington Post
17.607789,8.081666,niger,44,Huffington Post
-14.235004,-51.92528,brazil,27,Huffington Post
33.93911,67.709953,afghanistan,33,Huffington Post
25.354826,51.183884,qatar,5,Huffington Post
38.969719,59.556278,turkmenistan,1,Huffington Post
12.862807,30.217636,sudan,5,Huffington Post
9.945587,-9.696645,guinea,8,Huffington Post
8.537981,-80.782127,panama,2,Huffington Post
28.394857,84.124008,nepal,86,Huffington Post
6.611111,20.939444,central african republic,3,Huffington Post
49.815273,6.129583,luxembourg,3,Huffington Post
5.152149,46.199616,somalia,14,Huffington Post
64.963051,-19.020835,iceland,3,Huffington Post
6.42375,-66.58973,venezuela,7,Huffington Post
4.535277,114.727669,brunei,1,Huffington Post
32.427908,53.688046,iran,104,Huffington Post
